group,time,pulserate,systolicbloodpressure,diastolicbloodpressure,quaternion,euler,acceleration
12,2019-03-09T13:18:42.935Z,86,101,61,"[0.7576395273208618, 0.12600353360176086, 0.0944700539112091, -0.6333884000778198]","[-18.098119735717773, 0.9436959624290466, 79.6411361694336]","[0.16053131222724915, 0.09497664123773575, 0.08140586316585541]"
12,2019-03-09T13:18:43.942Z,86,101,61,"[0.693894624710083, 0.0786348208785057, -0.09661776572465897, -0.709219217300415]","[1.6503514051437378, 14.218701362609863, 91.45738220214844]","[0.09648428112268448, -0.07445825636386871, 0.13026390969753265]"
12,2019-03-09T13:18:44.948Z,86,101,61,"[0.5826439261436462, 0.04687363654375076, -0.0375235453248024, -0.8105065226554871]","[0.35809075832366943, 6.875283241271973, 108.59956359863281]","[0.07159949094057083, -0.028183747082948685, -0.02414584718644619]"
12,2019-03-09T13:18:45.955Z,86,101,61,"[-0.011533128097653389, -0.22032023966312408, 0.24209819734096527, -0.9448356628417969]","[-30.486921310424805, -24.251873016357422, -171.8997039794922]","[0.06258150935173035, -0.08347548544406891, 0.005741620436310768]"
12,2019-03-09T13:18:46.961Z,86,101,61,"[-0.0652402862906456, -0.47566625475883484, 0.33175864815711975, -0.8120477199554443]","[-61.4184684753418, -46.82268142700195, -141.9684295654297]","[-0.012415814213454723, 0.0058680069632828236, -0.07924814522266388]"
12,2019-03-09T13:18:47.968Z,86,101,61,"[0.04194324091076851, -0.4731272757053375, 0.42043349146842957, -0.7730635404586792]","[-71.96127319335938, -50.06592559814453, -148.75173950195312]","[0.15815553069114685, -0.21016642451286316, -0.014578334055840969]"
12,2019-03-09T13:18:48.974Z,86,101,61,"[0.17366796731948853, -0.3195931613445282, 0.5510769486427307, -0.7510085105895996]","[-75.27605438232422, -42.17856979370117, -172.9161834716797]","[0.06831160187721252, -0.21454833447933197, -0.05803532898426056]"
12,2019-03-09T13:18:49.980Z,86,107,63,"[0.2551388442516327, -0.1888335645198822, 0.7421892881393433, -0.5902551412582397]","[-102.50897216796875, -36.98764419555664, 178.5011749267578]","[-0.01693098060786724, 0.025197267532348633, -0.06568911671638489]"
12,2019-03-09T13:18:50.988Z,86,107,63,"[0.5987786054611206, 0.3628327548503876, 0.6827642917633057, -0.208924800157547]","[-105.20465850830078, -41.76215744018555, 91.50829315185547]","[0.1588677316904068, 0.06933841109275818, 0.20693129301071167]"
12,2019-03-09T13:18:51.996Z,86,107,63,"[0.5548757314682007, 0.7193491458892822, 0.39588749408721924, 0.13387612998485565]","[-116.71259307861328, -39.19371032714844, 32.90226745605469]","[0.137240931391716, -0.11871051788330078, 0.37710562348365784]"
12,2019-03-09T13:18:53.002Z,86,107,63,"[0.6268297433853149, 0.6667453050613403, 0.39390718936920166, 0.08586189150810242]","[-104.55223846435547, -37.46825408935547, 31.748218536376953]","[0.05663721263408661, 0.1235731989145279, 0.059651389718055725]"
12,2019-03-09T13:18:54.010Z,86,107,63,"[0.5566549301147461, 0.7337608337402344, 0.18382787704467773, 0.34342071413993835]","[-101.8089599609375, -45.12395477294922, -9.179765701293945]","[-0.015966573730111122, 0.06117076426744461, -0.052753105759620667]"
